section,status_type,status,completion,materials,case_no,project_name,client,tracking,plan_doc,drawing,pipe_support,welding,nde,sandblast,assembly,painting,pressure_test,handover,handover_year,est_delivery,notes,contact,closed
主要工程,completed,1/6交站,100%,v,YL2509001,竹服轄區整壓計量站設備汰換工作-交大華廈,公用處,,,10/17,10/9,10/14,10/27,11/3,11/18,12/6,12/2,1/6,115,,,昭宏,
主要工程,completed,1/15交站,100%,V,YL2508004,台灣積體電路製造(股)公司F22-P3新設計量站工程,欣高,,,12/1,12/2,"12/4(研磨)
12/8",12/11,12/19,12/27,1/10,1/9,1/15,115,,,柏如,
主要工程,not_started,,,,YL2508003,森霸一期24吋天然氣關斷閥更換與管線開挖驗證工程,"森霸
電力",,,,,,,,,,,,,,,江明元,
主要工程,not_started,,,,YL2508002,燕巢區大崎橋陰極防蝕整流系統汰換工程,欣雄,,,,,,,,,,,,,,,玉雯,
主要工程,not_started,,,,YL2507005,永安至通霄第二條海底輸氣管線陸域統包工程,"中油
液工處",,,,,,,,,,,,,,,,
主要工程,in_progress,製作中,80%,v,YL2507003,宏全國際(股)公司(自貿廠)新設整壓計量設備工程,欣彰,2/24廠驗,,9/30,8/22,9/25,10/7,10/9,12/9,,1/16,預計3月底,115,,,玉雯,
主要工程,not_started,,,,YL2506002,觀音、大溪、龍里整壓站改管工程,欣桃,,,,,,,,,,,,,,,,
主要工程,not_started,,,,YL2504003,台南市新市區南科三期整壓站工程,欣南,,,,,,,,,,,,,,,玉雯,
主要工程,in_progress,製作中,70%,V,YL2405001,北區處頭湖配氣站新建統包工程,北區,移至工地施工,,1/16,3/6,3/14,3/31~,5/7~,"6/30(減壓計量區)
7/22(過濾區)
8/20(清管區)",,,,115,,,小起,
主要工程,completed,1/19交站,100%,V,YL2403006,富光站出口銜接工程,陽明山,,,,1/7,1/10,1/12,-,-,1/15,-,1/19,115,,,君婷,
主要工程,completed,1/9交站,100%,V,YL2403002,楠楊站新設套裝減壓站工程,欣高,113/8/17移至外倉,,3/7,3/15,3/16,3/25,4/1,4/19,6/26,6/17,1/9,115,,,,
主要工程,completed,1/27交站,100%,V,YL2402004,欣雄北區服務中心新設天然氣整壓設備工程,欣雄,114/7/11移至外倉(115/1/6回工廠),,5/9,5/6,"5/6(研磨)
5/14(點焊)",5/26,6/6,6/14,7/5,7/3,1/27,115,,,玉雯,
主要工程,not_started,,,,YL2402005,豐德電廠24吋地下管線(台糖鐵道潭頂段)更新工程,"森霸
電力",,,,,,,,,,,,,,,江明元,
主要工程,not_started,,,,YL2402001,鳳山整壓站遷移工程自動加嗅系統設備工程,欣雄,,,,,,,,,,,,,,,玉雯,
主要工程,not_started,,,,YL2312001,后里站增設整壓計量設備工程,欣彰,,,,,,,,,,,,,,,玉雯,
材料案,completed,1/29交站,100%,V,材料案,達邁公司計量設備汰換與採購,公用處,,,1/8,1/10,"1/9(研磨)
1/10(點焊)",1/14,-,1/20,1/23,1/22,1/29,115,,,,
材料案,in_progress,製作中,60%,V,材料案,北投一基地共住宅新設套裝整壓站,陽明山,圖面變更,12/22,12/22,12/30,"1/2
1/30","1/7
2/24",-,2/25,,,,115,,,阿浩,
材料案,completed,1/8交站,100%,V,材料案,星陽金屬壓計量設備局部更新工程,欣彰,,,,12/18,12/19,12/24,-,-,12/27,-,1/8,115,,,,
材料案,in_progress,製作中,85%,V,114-M-007,竹服愛山林建設8-2區(套裝箱),汎宇,,,12/10,1/13,1/13,1/19,-,1/22,1/21,,預計3月中,115,,,雅惠,
材料案,in_progress,製作中,85%,V,114-M-008,竹服愛山林建設8-3區(套裝箱),汎宇,,,12/10,1/13,1/13,1/19,-,1/26,1/21,,預計3月中,115,,,雅惠,
材料案,in_progress,製作中,85%,V,114-M-009,竹服愛山林建設9-1區(套裝箱),汎宇,,,12/10,1/13,1/13,1/19,-,1/26,1/21,,預計3月中,115,,,雅惠,
材料案,pending,待交站,95%,V,114-M-010,竹服寶山鄉星碩建設(套裝箱),汎宇,,,12/10,12/23,12/23,12/24,-,12/30,12/26,1/12,預計2月初,115,,,雅惠,
材料案,completed,1/12交站,100%,V,材料案,北供南亞塑膠計量錶汰換,北供,,,12/4,12/2,12/3,12/5,12/9,12/16,12/26,12/22,1/12,115,,,小蔡,
材料案,completed,1/9交站,100%,V,材料案,陽明山瓦斯華固建設(上林文案)整壓箱,陽明山,,,12/12,12/1,12/2,12/4,-,12/26,12/13,1/2,1/9,115,,,阿澔,
材料案,completed,1/16交站,100%,V,材料案,陽明山瓦斯達麗建設整壓箱,陽明山,,,12/12,12/1,12/2,12/4,-,1/8,12/13,1/10,1/16,115,,,阿澔,
材料案,not_started,,,,L60133005,南供路竹配氣站新設計量套裝設備(採購帶安裝)一批,南區,偉鴻 114/11/17開工 330工作天,,,,,,,,,,115/10/30,,,,阿展,
材料案,pending,待交站,95%,V,L6013N007,南供穗高(四)計量設備改善,南區,偉鴻  1/20繳中油倉庫，待開工協調會安裝,,12/8,12/10,12/11,12/26,12/30,1/3,1/15,1/14,預計3/12,115,,,阿展,
材料案,pending,待交站,95%,V,L6013N007,新設南科欣南計量設備,南區,偉鴻  1/20繳中油倉庫，待開工協調會安裝,12/8,12/8,12/10,12/11,12/26,12/30,1/3,1/15,1/14,預計3/13,115,,,阿展,
材料案,in_progress,製作中,50%,,L3013P010,桃供南崁配氣站2樓配合林口站轉輸設備汰換(含安裝測試),北區,偉鴻,,1/2,1/3,"1/2(研磨)
1/5(點焊)",2/12,2/23,,,,,,,,大楊,
材料案,not_started,,,,L6013N006,南供台積電6廠計量站更新(採購帶安裝)一批,南區,偉鴻,,,,,,,,,,116/3/20,,,,林鋐奕,
材料案,completed,1/9交站,100%,V,材料案,欣高套裝站x1,欣高,4/16交2套,,3/7,3/15,3/29,4/5,4/12,7/16,8/10,8/6-8/9,1/9,115,113/8/17移至外倉,,,
